iter	Passed	Remaining
194	855	3532
195	859	3525
196	861	3513
197	864	3499
198	865	3484
199	867	3470
200	869	3456
201	871	3442
202	875	3435
203	876	3421
204	878	3408
205	880	3394
206	882	3381
207	884	3366
208	886	3355
209	891	3355
210	894	3344
211	896	3332
212	899	3322
213	900	3308
214	905	3305
215	907	3293
216	909	3281
217	911	3269
218	914	3260
219	916	3248
220	919	3241
221	923	3235
222	925	3224
223	927	3212
224	928	3199
225	930	3187
226	934	3182
227	936	3169
228	938	3158
229	941	3151
230	943	3141
231	945	3129
232	951	3131
233	953	3120
234	955	3109
235	956	3096
236	958	3084
237	959	3071
238	960	3059
239	964	3053
240	965	3041
241	967	3029
242	969	3019
243	970	3007
244	971	2994
245	973	2982
246	974	2970
247	975	2959
248	979	2952
249	980	2941
250	982	2931
251	983	2920
252	985	2909
253	986	2898
254	988	2886
255	989	2875
256	990	2864
257	994	2859
258	996	2849
259	997	2839
260	999	2828
261	1000	2817
262	1001	2807
263	1003	2796
264	1004	2786
265	1006	2776
266	1009	2772
267	1011	2763
268	1013	2753
269	1014	2743
270	1016	2733
271	1017	2723
272	1018	2713
273	1020	2702
274	1023	2698
275	1025	2689
276	1026	2679
277	1028	2671
278	1030	2661
279	1031	2652
280	1032	2642
281	1034	2632
282	1035	2622
283	1038	2617
284	1040	2609
285	1041	2600
286	1043	2592
287	1044	2583
288	1046	2575
289	1048	2566
290	1049	2557
291	1052	2552
292	1054	2543
293	1055	2535
294	1057	2526
295	1058	2518
296	1060	2510
297	1061	2501
298	1063	2492
299	1066	2489
300	1069	2483
301	1071	2477
302	1073	2470
303	1075	2463
304	1089	2482
305	1091	2475
306	1093	2468
307	1095	2462
308	1101	2462
309	1103	2457
310	1106	2451
311	1108	2445
312	1110	2437
313	1114	2434
314	1116	2428
315	1119	2422
316	1121	2417
317	1124	2410
318	1126	2403
319	1136	2414
320	1139	2411
321	1146	2413
322	1148	2407
323	1151	2403
324	1155	2399
325	1157	2393
326	1163	2394
327	1166	2390
328	1169	2384
329	1171	2377
330	1172	2370
331	1178	2371
332	1181	2365
333	1183	2358
334	1185	2352
335	1186	2345
336	1190	2342
337	1193	2336
338	1195	2330
339	1197	2323
340	1198	2316
341	1200	2309
342	1201	2301
343	1203	2294
344	1207	2293
345	1210	2287
346	1211	2280
347	1213	2273
348	1214	2266
349	1216	2258
350	1217	2251
351	1220	2247
352	1222	2240
353	1223	2233
354	1225	2226
355	1226	2219
356	1228	2211
357	1229	2204
358	1230	2197
359	1232	2191
360	1237	2189
361	1238	2183
362	1240	2176
363	1242	2170
364	1244	2165
365	1245	2158
366	1247	2151
367	1251	2149
368	1253	2142
369	1254	2136
370	1256	2130
371	1258	2125
372	1260	2118
373	1262	2112
374	1265	2108
375	1266	2102
376	1268	2095
377	1270	2089
378	1271	2083
379	1272	2076
380	1274	2070
381	1275	2063
382	1276	2056
383	1280	2054
384	1281	2047
385	1283	2041
386	1284	2035
387	1286	2029
388	1287	2022
389	1289	2016
390	1290	2010
391	1291	2003
392	1295	2000
393	1296	1994
394	1298	1988
395	1299	1982
396	1301	1976
397	1302	1970
398	1304	1964
399	1305	1958
400	1306	1952
401	1310	1949
402	1312	1944
403	1314	1938
404	1315	1932
405	1316	1926
406	1318	1921
407	1319	1914
408	1321	1909
409	1323	1904
410	1325	1900
411	1327	1894
412	1329	1889
413	1330	1883
414	1332	1878
415	1333	1872
416	1335	1866
417	1336	1861
418	1340	1858
419	1341	1852
420	1343	1847
421	1344	1841
422	1346	1836
423	1348	1831
424	1349	1826
425	1351	1820
426	1355	1818
427	1356	1812
428	1358	1807
429	1359	1802
430	1361	1796
431	1362	1791
432	1363	1785
433	1364	1780
434	1366	1774
435	1370	1772
436	1371	1767
437	1373	1762
438	1374	1756
439	1376	1751
440	1377	1746
441	1379	1740
442	1380	1735
443	1383	1731
444	1384	1727
445	1386	1721
446	1388	1717
447	1389	1712
448	1390	1706
449	1392	1701
450	1393	1696
451	1394	1691
452	1398	1688
453	1399	1683
454	1401	1678
455	1402	1673
456	1404	1668
457	1405	1663
458	1407	1658
459	1408	1653
460	1409	1648
461	1412	1645
462	1415	1641
463	1417	1637
464	1418	1632
465	1420	1628
466	1422	1623
467	1424	1618
468	1427	1616
469	1429	1612
470	1431	1607
471	1433	1603
472	1435	1599
473	1437	1594
474	1438	1589
475	1439	1584
476	1443	1582
477	1444	1577
478	1446	1573
479	1448	1568
480	1449	1563
481	1450	1559
482	1452	1554
483	1453	1549
484	1454	1544
485	1458	1542
486	1460	1538
487	1461	1533
488	1463	1529
489	1464	1524
490	1466	1519
491	1467	1515
492	1468	1510
493	1473	1508
494	1479	1509
495	1482	1506
496	1484	1502
497	1488	1500
498	1490	1496
499	1492	1492
500	1493	1487
501	1495	1483
502	1496	1478
503	1499	1475
504	1503	1473
505	1505	1470
506	1507	1465
507	1509	1461
508	1511	1457
509	1513	1453
510	1514	1449
511	1518	1446
512	1520	1443
513	1521	1439
514	1523	1434
515	1525	1430
516	1526	1426
517	1528	1422
518	1530	1418
519	1533	1415
520	1535	1411
521	1537	1407
522	1538	1403
523	1539	1398
524	1541	1394
525	1542	1390
526	1543	1385
527	1545	1381
528	1548	1378
529	1550	1374
530	1551	1370
531	1553	1366
532	1554	1362
533	1555	1357
534	1557	1353
535	1558	1349
536	1560	1345
537	1562	1342
538	1564	1337
539	1565	1333
540	1567	1330
541	1569	1326
542	1570	1321
543	1572	1317
544	1573	1313
545	1574	1309
546	1577	1306
547	1579	1303
548	1581	1299
549	1582	1295
550	1584	1291
551	1585	1286
552	1587	1282
553	1588	1278
554	1589	1274
555	1593	1272
556	1595	1268
557	1596	1264
558	1598	1260
559	1599	1256
560	1600	1252
561	1602	1248
562	1603	1244
563	1604	1240
564	1609	1238
565	1610	1235
566	1612	1231
567	1615	1228
568	1617	1225
569	1621	1223
570	1623	1219
571	1625	1216
572	1627	1212
573	1629	1209
574	1630	1205
575	1632	1201
576	1633	1197
577	1636	1195
578	1638	1191
579	1640	1187
580	1641	1183
581	1642	1179
582	1644	1176
583	1645	1172
584	1647	1168
585	1648	1164
586	1651	1162
587	1653	1158
588	1655	1155
589	1656	1151
590	1657	1147
591	1659	1143
592	1660	1139
593	1662	1136
594	1665	1133
595	1667	1130
596	1668	1126
597	1670	1122
598	1671	1119
599	1674	1116
600	1675	1112
601	1677	1109
602	1680	1106
603	1682	1102
604	1683	1099
605	1685	1095
606	1686	1091
607	1687	1088
608	1689	1084
609	1690	1081
610	1695	1079
611	1698	1076
612	1700	1073
613	1702	1070
614	1704	1066
615	1705	1063
616	1706	1059
617	1708	1055
618	1710	1052
619	1711	1049
620	1713	1045
621	1714	1042
622	1716	1038
623	1717	1035
624	1719	1031
625	1720	1027
626	1723	1025
627	1725	1022
628	1727	1018
629	1728	1015
630	1730	1011
631	1731	1008
632	1732	1004
633	1734	1001
634	1735	997
635	1738	995
636	1740	991
637	1741	988
638	1743	984
639	1744	981
640	1745	977
641	1747	974
642	1748	970
643	1750	967
644	1753	964
645	1754	961
646	1756	958
647	1758	955
648	1760	952
649	1762	948
650	1763	945
651	1765	942
652	1768	939
653	1769	936
654	1771	933
655	1773	929
656	1774	926
657	1776	923
658	1777	919
659	1779	916
660	1782	914
661	1784	911
662	1786	908
663	1788	904
664	1790	901
665	1791	898
666	1793	895
667	1794	892
668	1797	889
669	1800	886
670	1801	883
671	1803	880
672	1805	877
673	1806	873
674	1808	870
675	1809	867
676	1813	865
677	1814	861
678	1816	858
679	1817	855
680	1819	852
681	1820	849
682	1822	845
683	1823	842
684	1825	839
685	1826	836
686	1828	833
687	1830	830
688	1831	826
689	1833	823
690	1834	820
691	1836	817
692	1837	814
693	1842	812
694	1844	809
695	1846	806
696	1848	803
697	1850	800
698	1851	797
699	1852	794
700	1856	791
701	1857	788
702	1859	785
703	1860	782
704	1861	779
705	1862	775
706	1864	772
707	1865	769
708	1867	766
709	1870	764
710	1872	761
711	1873	758
712	1875	754
713	1876	751
714	1878	748
715	1879	745
716	1881	742
717	1882	739
718	1884	736
719	1886	733
720	1888	730
721	1890	728
722	1893	725
723	1894	722
724	1896	719
725	1898	716
726	1900	713
727	1901	710
728	1903	707
729	1904	704
730	1906	701
731	1907	698
732	1909	695
733	1912	693
734	1914	690
735	1916	687
736	1917	684
737	1919	681
738	1921	678
739	1923	675
740	1927	673
741	1929	670
742	1931	668
743	1934	665
744	1935	662
745	1937	659
746	1939	656
747	1944	655
748	1946	652
749	1947	649
750	1949	646
751	1951	643
752	1952	640
753	1954	637
754	1958	635
755	1960	632
756	1962	630
757	1964	627
758	1966	624
759	1968	621
760	1971	619
761	1973	616
762	1975	613
763	1978	611
764	1979	608
765	1981	605
766	1983	602
767	1984	599
768	1987	597
769	1989	594
770	1991	591
771	1992	588
772	1994	585
773	1996	582
774	1997	580
775	1999	577
776	2002	574
777	2004	571
778	2005	569
779	2007	566
780	2008	563
781	2010	560
782	2011	557
783	2013	554
784	2016	552
785	2018	549
786	2019	546
787	2021	543
788	2022	540
789	2024	538
790	2025	535
791	2026	532
792	2028	529
793	2031	527
794	2033	524
795	2034	521
796	2036	518
797	2037	515
798	2039	513
799	2040	510
800	2042	507
801	2045	504
802	2046	502
803	2048	499
804	2049	496
805	2051	493
806	2052	490
807	2053	488
808	2055	485
809	2057	482
810	2058	479
811	2061	477
812	2062	474
813	2064	471
814	2065	468
815	2067	466
816	2068	463
817	2070	460
818	2072	457
819	2073	455
820	2075	452
821	2077	449
822	2079	447
823	2081	444
824	2083	441
825	2084	439
826	2086	436
827	2090	434
828	2092	431
829	2094	428
830	2095	426
831	2098	423
832	2101	421
833	2104	418
834	2106	416
835	2107	413
836	2109	410
837	2111	408
838	2113	405
839	2115	402
840	2119	400
841	2124	398
842	2127	396
843	2129	393
844	2132	391
845	2137	389
846	2140	386
847	2142	384
848	2145	381
849	2147	378
850	2149	376
851	2152	373
852	2154	371
853	2157	368
854	2159	366
855	2169	364
856	2171	362
857	2173	359
858	2182	358
859	2187	356
860	2199	355
861	2205	353
862	2213	351
863	2215	348
864	2217	346
865	2218	343
866	2220	340
867	2224	338
868	2225	335
869	2227	332
870	2229	330
871	2231	327
872	2232	324
873	2234	322
874	2235	319
875	2236	316
876	2238	313
877	2240	311
878	2242	308
879	2243	305
880	2245	303
881	2246	300
882	2248	297
883	2249	295
884	2252	292
885	2254	290
886	2256	287
887	2257	284
888	2258	282
889	2260	279
890	2261	276
891	2263	274
892	2265	271
893	2267	268
894	2269	266
895	2271	263
896	2272	260
897	2275	258
898	2279	256
899	2281	253
900	2283	250
901	2285	248
902	2287	245
903	2289	243
904	2292	240
905	2294	238
906	2307	236
907	2309	234
908	2311	231
909	2313	228
910	2317	226
911	2322	224
912	2324	221
913	2328	219
914	2334	216
915	2337	214
916	2339	211
917	2341	209
918	2343	206
919	2344	203
920	2349	201
921	2351	198
922	2353	196
923	2355	193
924	2357	191
925	2364	188
926	2366	186
927	2368	183
928	2370	181
929	2372	178
930	2374	175
931	2376	173
932	2378	170
933	2380	168
934	2382	165
935	2384	163
936	2386	160
937	2388	157
938	2396	155
939	2405	153
940	2409	151
941	2412	148
942	2413	145
943	2415	143
944	2416	140
945	2418	138
946	2420	135
947	2446	134
948	2449	131
949	2452	129
950	2457	126
951	2458	123
952	2460	121
953	2461	118
954	2463	116
955	2465	113
956	2466	110
957	2467	108
958	2471	105
959	2472	103
960	2474	100
961	2475	97
962	2477	95
963	2478	92
964	2479	89
965	2481	87
966	2483	84
967	2487	82
968	2488	79
969	2490	77
970	2492	74
971	2493	71
972	2495	69
973	2496	66
974	2497	64
975	2501	61
976	2503	58
977	2505	56
978	2506	53
979	2508	51
980	2509	48
981	2510	46
982	2512	43
983	2515	40
984	2517	38
985	2519	35
986	2521	33
987	2522	30
988	2524	28
989	2525	25
990	2526	22
991	2530	20
992	2531	17
993	2533	15
994	2534	12
995	2536	10
996	2537	7
997	2538	5
998	2540	2
999	2541	0
